process_id,Oper,master_desc,detail_id,remark
0086A116,2330,PTN no,R23300398,01
0086A116,2040,Support Entity,S20400102,
0086A116,2040,Support Entity,S20400102,
0086A116,2200,Support Entity,S22000102,
0086A116,2200,Support Entity,S22000103,SU-22061-263E12
0086A118,2070,Entity,E20700199,DB-700
0086A118,2070,Entity,E20700199,DB-700
0086A118,2070,Entity,E20700199,DB-700
0086A118,2130,Entity,E21300199,DB-700
0086A118,2150,Entity,E21500199,MARCH_FAST
0086A118,2200,Entity (KNS),E22000298,Ultra; Iconn
0086A118,2250,Entity,E22500199,E&R
0086A118,2070,Lot Size,O20700198,1600
0086A118,2010,Entity Code,R20100698,I
0086A118,2051,PTN No,R20510198,15
0086A118,2140,PTN no,R21400198,11
0086A118,2140,PTN no,R21400198,11
0086A118,2150,PTN no,R21500198,05
0086A118,2250,PTN no,R22500198,15
0086A118,2330,PTN no,R23300398,01
0086A118,2040,Support Entity,S20400102,
0086A118,2040,Support Entity,S20400102,
0086A118,2200,Support Entity,S22000102,
0086A118,2200,Support Entity,S22000103,SU-22061-263E12
0086A121,2070,Entity,E20700199,DB-700
0086A121,2070,Entity,E20700199,DB-700
0086A121,2070,Entity,E20700199,DB-700
0086A121,2130,Entity,E21300199,DB-700
0086A121,2150,Entity,E21500199,MARCH_FAST
0086A121,2200,Entity (KNS),E22000298,Ultra; Iconn
0086A121,2250,Entity,E22500199,E&R
0086A121,2070,Lot Size,O20700198,1600
0086A121,2010,Entity Code,R20100698,N
0086A121,2051,PTN No,R20510198,15
0086A121,2140,PTN no,R21400198,11
0086A121,2140,PTN no,R21400198,11
0086A121,2150,PTN no,R21500198,05
0086A121,2250,PTN no,R22500198,15
0086A121,2330,PTN no,R23300398,01
0086A121,2040,Support Entity,S20400102,
0086A121,2040,Support Entity,S20400102,
0086A121,2200,Support Entity,S22000102,
0086A121,2200,Support Entity,S22000103,SU-22061-263E12
0086A123,2070,Entity,E20700199,ESEC 2100SD
0086A123,2070,Entity,E20700199,ESEC 2100SD
0086A123,2070,Entity,E20700199,ESEC 2100SD
0086A123,2130,Entity,E21300199,ESEC 2100SD / DB800 /DB830
0086A123,2200,Entity (KNS),E22000298,Ultra; Iconn
0086A123,2250,Entity,E22500102,
0086A123,2070,Lot Size,O20700198,1600
0086A123,2051,PTN No,R20510198,15
0086A123,2080,PTN No,R20800698,11
0086A123,2140,PTN no,R21400198,66
0086A123,2140,PTN no,R21400198,66
0086A123,2150,PTN no,R21500198,05
0086A123,2250,PTN no,R22500198,02
0086A123,2330,PTN no,R23300398,01
0086A123,2040,Support Entity,S20400199,Dual
0086A123,2040,Support Entity,S20400199,Dual
0086A123,2200,Support Entity,S22000102,
0086A123,2200,Support Entity,S22000103,SU-22061-263E12
0086A128,2070,Entity,E20700199,ESEC-2100
0086A128,2070,Entity,E20700199,ESEC-2100
0086A128,2070,Entity,E20700199,ESEC-2100
0086A128,2130,Entity,E21300199,ESEC-2100; DB-800; DB-830
0086A128,2200,Entity (KNS),E22000298,Iconn;Iconn Plus;RAPID
0086A128,2250,Entity,E22500102,
0086A128,2070,Lot Size,O20700198,1600
0086A128,2051,PTN No,R20510198,15
0086A128,2080,PTN No,R20800698,11
0086A128,2140,PTN no,R21400198,66
0086A128,2140,PTN no,R21400198,66
0086A128,2150,PTN no,R21500198,05
0086A128,2250,PTN no,R22500198,02
0086A128,2330,PTN no,R23300398,01
0086A128,2040,Support Entity,S20400102,
0086A128,2040,Support Entity,S20400102,
0086A128,2200,Support Entity,S22000102,
0086A128,2200,Support Entity,S22000103,SU-22061-263E12
0086A137,2070,Entity,E20700199,ESEC-2100
0086A137,2070,Entity,E20700199,ESEC-2100
0086A137,2070,Entity,E20700199,ESEC-2100
0086A137,2130,Entity,E21300199,ESEC-2100; DB-800; DB-830
0086A137,2200,Entity (KNS),E22000298,Maxum Plus;Ultra;Iconn;Iconn Plus;RAPID
0086A137,2250,Entity,E22500102,
0086A137,2070,Lot Size,O20700198,1600
0086A137,2051,PTN No,R20510198,15
0086A137,2080,PTN No,R20800698,11
0086A137,2140,PTN no,R21400198,66
0086A137,2140,PTN no,R21400198,66
0086A137,2150,PTN no,R21500198,05
0086A137,2250,PTN no,R22500198,02
0086A137,2330,PTN no,R23300398,01
0086A137,2040,Support Entity,S20400102,
0086A137,2040,Support Entity,S20400102,
0086A137,2200,Support Entity,S22000102,
0086A137,2200,Support Entity,S22000103,SU-22061-263E12
0086A140,2070,Entity,E20700199,ESEC-2100
0086A140,2070,Entity,E20700199,ESEC-2100
0086A140,2070,Entity,E20700199,ESEC-2100
0086A140,2130,Entity,E21300199,ESEC-2100; DB-800; DB-830
0086A140,2200,Entity (KNS),E22000298,Maxum Plus;Ultra;Iconn;Iconn Plus;RAPID
0086A140,2250,Entity,E22500102,
0086A140,2070,Lot Size,O20700198,1600
0086A140,2051,PTN No,R20510198,15
0086A140,2080,PTN No,R20800698,11
0086A140,2140,PTN no,R21400198,66
0086A140,2140,PTN no,R21400198,66
0086A140,2150,PTN no,R21500198,05
0086A140,2250,PTN no,R22500198,02
0086A140,2330,PTN no,R23300398,01
0086A140,2040,Support Entity,S20400102,
0086A140,2040,Support Entity,S20400102,
0086A140,2200,Support Entity,S22000102,
0086A140,2200,Support Entity,S22000103,SU-22061-263E12
0086A147,2070,Entity,E20700199,ESEC-2100
0086A147,2070,Entity,E20700199,ESEC-2100
0086A147,2070,Entity,E20700199,ESEC-2100
0086A147,2130,Entity,E21300199,ESEC-2100; DB-800; DB-830
0086A147,2200,Entity (KNS),E22000298,Ultra
0086A147,2250,Entity,E22500102,
0086A147,2070,Lot Size,O20700198,1600
0086A147,2051,PTN No,R20510198,15
