assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,wlot_oper,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_crt_dat_al_3,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_crte_category,wlot_hold,prod_type,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_deleted,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,assy_issue,bd_id,assy_group,wlot_hold_category,da_type,tape_no,mark_type,test_entity,package_id1,wlot_owner,wb_date,sp_date,pack_date,ship_date,due_date,wafer_size,urgent_code,note_4,heat_block,heat_block_qty,pb_free,sps_status,ship_to,md_no,swr_id,swr_ver,wlot_hold_note,wlot_assy_lot,assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,
	PXXASQI    ,	,	2200,	2021/11/25 下午 10:37:24,	S18534    ,	Y,	2070,	PXXASQI    ,	ChipMOS      ,	SOP-8G         ,	008FGAS005               ,	X117T.01                                          ,	151,	0,	2070,	A2,	N,	TSOP  ,	FQ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	MT2021111204             ,	N,	N,	20211130,	182153,	20211130,	201822,	2021/11/25 上午 12:00:00,	AAS008FG1010A       ,	,	      ,	M,	                         ,	          ,	               ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	PROD        ,	2021/11/30 上午 12:00:00,	2021/12/1 上午 12:00:00,	2021/12/2 上午 12:00:00,	2021/12/2 上午 12:00:00,	,	12,	,	 B C D B C                                                                      ,	A0803CB1278         ,	21,	Y1,	     ,	AS10    ,	1081631LV1               ,	,	,	                                   ,	PXXASQI,	PXXASQI    ,	,	2200,	2021/11/25 下午 10:37:24,	S18534    ,	Y,
	PXXASQI    ,	,	2205,	2021/11/25 下午 10:37:24,	S18534    ,	Y,	2070,	PXXASQI    ,	ChipMOS      ,	SOP-8G         ,	008FGAS005               ,	X117T.01                                          ,	151,	0,	2070,	A2,	N,	TSOP  ,	FQ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	MT2021111204             ,	N,	N,	20211130,	182153,	20211130,	201822,	2021/11/25 上午 12:00:00,	AAS008FG1010A       ,	,	      ,	M,	                         ,	          ,	               ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	PROD        ,	2021/11/30 上午 12:00:00,	2021/12/1 上午 12:00:00,	2021/12/2 上午 12:00:00,	2021/12/2 上午 12:00:00,	,	12,	,	 B C D B C                                                                      ,	A0803CB1278         ,	21,	Y1,	     ,	AS10    ,	1081631LV1               ,	,	,	                                   ,	PXXASQI,	PXXASQI    ,	,	2205,	2021/11/25 下午 10:37:24,	S18534    ,	Y,
	PXXASQI    ,	,	2210,	2021/11/25 下午 10:37:24,	S18534    ,	Y,	2070,	PXXASQI    ,	ChipMOS      ,	SOP-8G         ,	008FGAS005               ,	X117T.01                                          ,	151,	0,	2070,	A2,	N,	TSOP  ,	FQ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	MT2021111204             ,	N,	N,	20211130,	182153,	20211130,	201822,	2021/11/25 上午 12:00:00,	AAS008FG1010A       ,	,	      ,	M,	                         ,	          ,	               ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	PROD        ,	2021/11/30 上午 12:00:00,	2021/12/1 上午 12:00:00,	2021/12/2 上午 12:00:00,	2021/12/2 上午 12:00:00,	,	12,	,	 B C D B C                                                                      ,	A0803CB1278         ,	21,	Y1,	     ,	AS10    ,	1081631LV1               ,	,	,	                                   ,	PXXASQI,	PXXASQI    ,	,	2210,	2021/11/25 下午 10:37:24,	S18534    ,	Y,
	PXXASQI    ,	,	2230,	2021/11/25 下午 10:37:24,	S18534    ,	Y,	2070,	PXXASQI    ,	ChipMOS      ,	SOP-8G         ,	008FGAS005               ,	X117T.01                                          ,	151,	0,	2070,	A2,	N,	TSOP  ,	FQ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	MT2021111204             ,	N,	N,	20211130,	182153,	20211130,	201822,	2021/11/25 上午 12:00:00,	AAS008FG1010A       ,	,	      ,	M,	                         ,	          ,	               ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	PROD        ,	2021/11/30 上午 12:00:00,	2021/12/1 上午 12:00:00,	2021/12/2 上午 12:00:00,	2021/12/2 上午 12:00:00,	,	12,	,	 B C D B C                                                                      ,	A0803CB1278         ,	21,	Y1,	     ,	AS10    ,	1081631LV1               ,	,	,	                                   ,	PXXASQI,	PXXASQI    ,	,	2230,	2021/11/25 下午 10:37:24,	S18534    ,	Y,
	PXXASQI    ,	,	2250,	2021/11/25 下午 10:37:24,	S18534    ,	Y,	2070,	PXXASQI    ,	ChipMOS      ,	SOP-8G         ,	008FGAS005               ,	X117T.01                                          ,	151,	0,	2070,	A2,	N,	TSOP  ,	FQ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	MT2021111204             ,	N,	N,	20211130,	182153,	20211130,	201822,	2021/11/25 上午 12:00:00,	AAS008FG1010A       ,	,	      ,	M,	                         ,	          ,	               ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	PROD        ,	2021/11/30 上午 12:00:00,	2021/12/1 上午 12:00:00,	2021/12/2 上午 12:00:00,	2021/12/2 上午 12:00:00,	,	12,	,	 B C D B C                                                                      ,	A0803CB1278         ,	21,	Y1,	     ,	AS10    ,	1081631LV1               ,	,	,	                                   ,	PXXASQI,	PXXASQI    ,	,	2250,	2021/11/25 下午 10:37:24,	S18534    ,	Y,
	PXXASQI    ,	,	2300,	2021/11/25 下午 10:37:24,	S18534    ,	Y,	2070,	PXXASQI    ,	ChipMOS      ,	SOP-8G         ,	008FGAS005               ,	X117T.01                                          ,	151,	0,	2070,	A2,	N,	TSOP  ,	FQ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	MT2021111204             ,	N,	N,	20211130,	182153,	20211130,	201822,	2021/11/25 上午 12:00:00,	AAS008FG1010A       ,	,	      ,	M,	                         ,	          ,	               ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	PROD        ,	2021/11/30 上午 12:00:00,	2021/12/1 上午 12:00:00,	2021/12/2 上午 12:00:00,	2021/12/2 上午 12:00:00,	,	12,	,	 B C D B C                                                                      ,	A0803CB1278         ,	21,	Y1,	     ,	AS10    ,	1081631LV1               ,	,	,	                                   ,	PXXASQI,	PXXASQI    ,	,	2300,	2021/11/25 下午 10:37:24,	S18534    ,	Y,
	PXXASQI    ,	,	2320,	2021/11/25 下午 10:37:24,	S18534    ,	Y,	2070,	PXXASQI    ,	ChipMOS      ,	SOP-8G         ,	008FGAS005               ,	X117T.01                                          ,	151,	0,	2070,	A2,	N,	TSOP  ,	FQ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	MT2021111204             ,	N,	N,	20211130,	182153,	20211130,	201822,	2021/11/25 上午 12:00:00,	AAS008FG1010A       ,	,	      ,	M,	                         ,	          ,	               ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	PROD        ,	2021/11/30 上午 12:00:00,	2021/12/1 上午 12:00:00,	2021/12/2 上午 12:00:00,	2021/12/2 上午 12:00:00,	,	12,	,	 B C D B C                                                                      ,	A0803CB1278         ,	21,	Y1,	     ,	AS10    ,	1081631LV1               ,	,	,	                                   ,	PXXASQI,	PXXASQI    ,	,	2320,	2021/11/25 下午 10:37:24,	S18534    ,	Y,
	PXXASQI    ,	,	2330,	2021/11/25 下午 10:37:24,	S18534    ,	Y,	2070,	PXXASQI    ,	ChipMOS      ,	SOP-8G         ,	008FGAS005               ,	X117T.01                                          ,	151,	0,	2070,	A2,	N,	TSOP  ,	FQ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	MT2021111204             ,	N,	N,	20211130,	182153,	20211130,	201822,	2021/11/25 上午 12:00:00,	AAS008FG1010A       ,	,	      ,	M,	                         ,	          ,	               ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	PROD        ,	2021/11/30 上午 12:00:00,	2021/12/1 上午 12:00:00,	2021/12/2 上午 12:00:00,	2021/12/2 上午 12:00:00,	,	12,	,	 B C D B C                                                                      ,	A0803CB1278         ,	21,	Y1,	     ,	AS10    ,	1081631LV1               ,	,	,	                                   ,	PXXASQI,	PXXASQI    ,	,	2330,	2021/11/25 下午 10:37:24,	S18534    ,	Y,
	PXXASQI    ,	,	2403,	2021/11/25 下午 10:37:24,	S18534    ,	Y,	2070,	PXXASQI    ,	ChipMOS      ,	SOP-8G         ,	008FGAS005               ,	X117T.01                                          ,	151,	0,	2070,	A2,	N,	TSOP  ,	FQ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	MT2021111204             ,	N,	N,	20211130,	182153,	20211130,	201822,	2021/11/25 上午 12:00:00,	AAS008FG1010A       ,	,	      ,	M,	                         ,	          ,	               ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	PROD        ,	2021/11/30 上午 12:00:00,	2021/12/1 上午 12:00:00,	2021/12/2 上午 12:00:00,	2021/12/2 上午 12:00:00,	,	12,	,	 B C D B C                                                                      ,	A0803CB1278         ,	21,	Y1,	     ,	AS10    ,	1081631LV1               ,	,	,	                                   ,	PXXASQI,	PXXASQI    ,	,	2403,	2021/11/25 下午 10:37:24,	S18534    ,	Y,
	PXXASQI    ,	,	2410,	2021/11/25 下午 10:37:24,	S18534    ,	Y,	2070,	PXXASQI    ,	ChipMOS      ,	SOP-8G         ,	008FGAS005               ,	X117T.01                                          ,	151,	0,	2070,	A2,	N,	TSOP  ,	FQ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	MT2021111204             ,	N,	N,	20211130,	182153,	20211130,	201822,	2021/11/25 上午 12:00:00,	AAS008FG1010A       ,	,	      ,	M,	                         ,	          ,	               ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	PROD        ,	2021/11/30 上午 12:00:00,	2021/12/1 上午 12:00:00,	2021/12/2 上午 12:00:00,	2021/12/2 上午 12:00:00,	,	12,	,	 B C D B C                                                                      ,	A0803CB1278         ,	21,	Y1,	     ,	AS10    ,	1081631LV1               ,	,	,	                                   ,	PXXASQI,	PXXASQI    ,	,	2410,	2021/11/25 下午 10:37:24,	S18534    ,	Y,
	PXXASQI    ,	,	2420,	2021/11/25 下午 10:37:24,	S18534    ,	Y,	2070,	PXXASQI    ,	ChipMOS      ,	SOP-8G         ,	008FGAS005               ,	X117T.01                                          ,	151,	0,	2070,	A2,	N,	TSOP  ,	FQ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	MT2021111204             ,	N,	N,	20211130,	182153,	20211130,	201822,	2021/11/25 上午 12:00:00,	AAS008FG1010A       ,	,	      ,	M,	                         ,	          ,	               ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	PROD        ,	2021/11/30 上午 12:00:00,	2021/12/1 上午 12:00:00,	2021/12/2 上午 12:00:00,	2021/12/2 上午 12:00:00,	,	12,	,	 B C D B C                                                                      ,	A0803CB1278         ,	21,	Y1,	     ,	AS10    ,	1081631LV1               ,	,	,	                                   ,	PXXASQI,	PXXASQI    ,	,	2420,	2021/11/25 下午 10:37:24,	S18534    ,	Y,
	PXXASQI    ,	,	2425,	2021/11/25 下午 10:37:24,	S18534    ,	Y,	2070,	PXXASQI    ,	ChipMOS      ,	SOP-8G         ,	008FGAS005               ,	X117T.01                                          ,	151,	0,	2070,	A2,	N,	TSOP  ,	FQ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	MT2021111204             ,	N,	N,	20211130,	182153,	20211130,	201822,	2021/11/25 上午 12:00:00,	AAS008FG1010A       ,	,	      ,	M,	                         ,	          ,	               ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	PROD        ,	2021/11/30 上午 12:00:00,	2021/12/1 上午 12:00:00,	2021/12/2 上午 12:00:00,	2021/12/2 上午 12:00:00,	,	12,	,	 B C D B C                                                                      ,	A0803CB1278         ,	21,	Y1,	     ,	AS10    ,	1081631LV1               ,	,	,	                                   ,	PXXASQI,	PXXASQI    ,	,	2425,	2021/11/25 下午 10:37:24,	S18534    ,	Y,
	PXXASQI    ,	,	2430,	2021/11/25 下午 10:37:24,	S18534    ,	Y,	2070,	PXXASQI    ,	ChipMOS      ,	SOP-8G         ,	008FGAS005               ,	X117T.01                                          ,	151,	0,	2070,	A2,	N,	TSOP  ,	FQ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	MT2021111204             ,	N,	N,	20211130,	182153,	20211130,	201822,	2021/11/25 上午 12:00:00,	AAS008FG1010A       ,	,	      ,	M,	                         ,	          ,	               ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	PROD        ,	2021/11/30 上午 12:00:00,	2021/12/1 上午 12:00:00,	2021/12/2 上午 12:00:00,	2021/12/2 上午 12:00:00,	,	12,	,	 B C D B C                                                                      ,	A0803CB1278         ,	21,	Y1,	     ,	AS10    ,	1081631LV1               ,	,	,	                                   ,	PXXASQI,	PXXASQI    ,	,	2430,	2021/11/25 下午 10:37:24,	S18534    ,	Y,
	PXXASQI    ,	,	2470,	2021/11/25 下午 10:37:24,	S18534    ,	Y,	2070,	PXXASQI    ,	ChipMOS      ,	SOP-8G         ,	008FGAS005               ,	X117T.01                                          ,	151,	0,	2070,	A2,	N,	TSOP  ,	FQ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	MT2021111204             ,	N,	N,	20211130,	182153,	20211130,	201822,	2021/11/25 上午 12:00:00,	AAS008FG1010A       ,	,	      ,	M,	                         ,	          ,	               ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	PROD        ,	2021/11/30 上午 12:00:00,	2021/12/1 上午 12:00:00,	2021/12/2 上午 12:00:00,	2021/12/2 上午 12:00:00,	,	12,	,	 B C D B C                                                                      ,	A0803CB1278         ,	21,	Y1,	     ,	AS10    ,	1081631LV1               ,	,	,	                                   ,	PXXASQI,	PXXASQI    ,	,	2470,	2021/11/25 下午 10:37:24,	S18534    ,	Y,
	PXXASQI    ,	,	2480,	2021/11/25 下午 10:37:24,	S18534    ,	Y,	2070,	PXXASQI    ,	ChipMOS      ,	SOP-8G         ,	008FGAS005               ,	X117T.01                                          ,	151,	0,	2070,	A2,	N,	TSOP  ,	FQ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	MT2021111204             ,	N,	N,	20211130,	182153,	20211130,	201822,	2021/11/25 上午 12:00:00,	AAS008FG1010A       ,	,	      ,	M,	                         ,	          ,	               ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	PROD        ,	2021/11/30 上午 12:00:00,	2021/12/1 上午 12:00:00,	2021/12/2 上午 12:00:00,	2021/12/2 上午 12:00:00,	,	12,	,	 B C D B C                                                                      ,	A0803CB1278         ,	21,	Y1,	     ,	AS10    ,	1081631LV1               ,	,	,	                                   ,	PXXASQI,	PXXASQI    ,	,	2480,	2021/11/25 下午 10:37:24,	S18534    ,	Y,
	PXXASQI    ,	,	2490,	2021/11/25 下午 10:37:24,	S18534    ,	Y,	2070,	PXXASQI    ,	ChipMOS      ,	SOP-8G         ,	008FGAS005               ,	X117T.01                                          ,	151,	0,	2070,	A2,	N,	TSOP  ,	FQ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	MT2021111204             ,	N,	N,	20211130,	182153,	20211130,	201822,	2021/11/25 上午 12:00:00,	AAS008FG1010A       ,	,	      ,	M,	                         ,	          ,	               ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	PROD        ,	2021/11/30 上午 12:00:00,	2021/12/1 上午 12:00:00,	2021/12/2 上午 12:00:00,	2021/12/2 上午 12:00:00,	,	12,	,	 B C D B C                                                                      ,	A0803CB1278         ,	21,	Y1,	     ,	AS10    ,	1081631LV1               ,	,	,	                                   ,	PXXASQI,	PXXASQI    ,	,	2490,	2021/11/25 下午 10:37:24,	S18534    ,	Y,
	PXXASQI    ,	,	3710,	2021/11/25 下午 10:37:24,	S18534    ,	Y,	2070,	PXXASQI    ,	ChipMOS      ,	SOP-8G         ,	008FGAS005               ,	X117T.01                                          ,	151,	0,	2070,	A2,	N,	TSOP  ,	FQ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	MT2021111204             ,	N,	N,	20211130,	182153,	20211130,	201822,	2021/11/25 上午 12:00:00,	AAS008FG1010A       ,	,	      ,	M,	                         ,	          ,	               ,	EN25QH64AA1HM{M68FA}{FT3}                         ,	PROD        ,	2021/11/30 上午 12:00:00,	2021/12/1 上午 12:00:00,	2021/12/2 上午 12:00:00,	2021/12/2 上午 12:00:00,	,	12,	,	 B C D B C                                                                      ,	A0803CB1278         ,	21,	Y1,	     ,	AS10    ,	1081631LV1               ,	,	,	                                   ,	PXXASQI,	PXXASQI    ,	,	3710,	2021/11/25 下午 10:37:24,	S18534    ,	Y,
	PXXAWIG    ,	,	2000,	2021/11/8 下午 06:48:32,	S2784     ,	Y,	2070,	PXXAWIG    ,	ChipMOS      ,	DFN-08YM2D     ,	008YMAW020               ,	5K923700A1                                        ,	318,	0,	2070,	A2,	N,	TSOP  ,	FQ,	6755N-087S10ITF999                                ,	4525755308-10            ,	N,	N,	0,	0,	20211108,	184832,	2021/11/8 上午 12:00:00,	AAW008YM2004A       ,	,	      ,	M,	                         ,	          ,	               ,	6755N-087S10ITF999                                ,	PROD        ,	2021/11/6 上午 12:00:00,	2021/11/7 上午 12:00:00,	2021/11/8 上午 12:00:00,	2021/11/9 上午 12:00:00,	2021/11/12 上午 12:00:00,	8 ,	4 ,	 D E I A F                                                                      ,	A0803CB0832         ,	54,	Y1,	     ,	AW11    ,	1081G700L1               ,	,	,	                                   ,	PXXAWIG,	PXXAWIG    ,	,	2000,	2021/11/8 下午 06:48:32,	S2784     ,	Y,
