el_key,el_customer,el_entity_model,el_entity_oper,el_entity_group,el_check_value,el_action
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA2*,60074411{OQ0-XX}-ENG1,R
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA2*,60074411{OQ0-XX}-ENG,R
RESTRAINED-ENTITY,MTI,2100SD*,3330,BA2*,L85A H74 4C EED777{DA4},A
RESTRAINED-ENTITY,MTI,2100SD*,3330,BA2*,L85A H74 2C EED73C,A
RESTRAINED-ENTITY,MTI,2100SD*,3330,BA2*,L85A H74 4C EED777,A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA2*,60073871{OQ0-XX},R
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA2*,60074411{OQ0-XX},R
RESTRAINED-ENTITY,MTI,DB800*,3330,BAA*,T*,R
RESTRAINED-ENTITY,A-DATA,2100SD*,3130,BA2*,60073871{OQ0-XX},R
RESTRAINED-ENTITY,MTI,2100SD*,3330,BA2*,L84C J54 2C 07A1A5,A
RESTRAINED-ENTITY,MTI,2100SD*,3330,BA2*,L84C J54 4C 07A1E9,A
RESTRAINED-ENTITY,A-DATA,2100SD*,3130,BA2*,60074519{OQ0-XX},R
RESTRAINED-ENTITY,MTI,2100SD*,3330,BA2*,L85A H74 4C EED777-OLD2,A
RESTRAINED-ENTITY,MTI,2100SD*,3330,BA2*,L85A H74 2C EED73C-OLD2,A
RESTRAINED-ENTITY,A-DATA,2100SD*,3130,BA2*,60074411{OQ0-XX}-ENG1,R
RESTRAINED-ENTITY,A-DATA,2100SD*,3130,BA2*,60074411{OQ0-XX}-ENG,R
RESTRAINED-ENTITY,A-DATA,2100SD*,3130,BA2*,60074411{OQ0-XX},R
RESTRAINED-ENTITY,A-DATA,2100SD*,3330,BA2*,60074519{OQ0-XX},R
RESTRAINED-ENTITY,A-DATA,2100SD*,3330,BA2*,60074411{OQ0-XX}-ENG,R
RESTRAINED-ENTITY,A-DATA,2100SD*,3330,BA2*,60074411{OQ0-XX},R
RESTRAINED-ENTITY,A-DATA,2100SD*,3330,BA2*,60073871{OQ0-XX},R
RESTRAINED-ENTITY,A-DATA,2100SD*,3330,BA2*,60074411{OQ0-XX}-ENG1,R
RESTRAINED-ENTITY,MIT-S,YF-03SUS,2418,AP903,*,R
RESTRAINED-ENTITY,MIT,YF-03SUS,2418,AP903,*,R
RESTRAINED-ENTITY,Synaptics,DFL7161,2035,*,*,A
RESTRAINED-ENTITY,*,ICA1204,2035,*,*{50}*,R
RESTRAINED-ENTITY,*,ICA1204,2035,*,*{60}*,R
RESTRAINED-ENTITY,*,ICA1204,2035,*,*{70}*,R
RESTRAINED-ENTITY,NOVATEK,ICA1204,2035,*,*,R
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA230,60076964{OQ0-XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA231,60076964{OQ0-XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA233,60076964{OQ0-XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA229,60076966{XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA232,60076969{XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA229,60077021{XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA232,60077024{XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA234,60077026{XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA228,60077310{OQ1-XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA233,60077310{OQ6-XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA229,60077310{XX-2102},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA230,60077313{XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA232,60077315{XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA233,60077316{XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA228,60076964{OQ0-XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA229,60076964{OQ0-XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA232,60076964{OQ0-XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA231,60076968{XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA233,60076970{XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA230,60077310{OQ3-XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA230,60077310{XX-2103},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA231,60077310{XX-2104},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA229,60077312{XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA234,60076964{OQ0-XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA234,60076971{XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA228,60077310{XX-2101},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA233,60077310{XX-2106},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA234,60077310{XX-2107},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA228,60076965{XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA230,60076967{XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA228,60077020{XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA230,60077022{XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA231,60077023{XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA233,60077025{XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA229,60077310{OQ2-XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA231,60077310{OQ4-XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA232,60077310{OQ5-XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA234,60077310{OQ7-XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA232,60077310{XX-2105},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA228,60077311{XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA231,60077314{XX},A
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA234,60077317{XX},A
RESTRAINED-ENTITY,UNIC2,2100SD*,2130,BA229,B16A1-TAMDBB10002S{2100},A
RESTRAINED-ENTITY,UNIC2,2100SD*,2130,BA230,B16A1-TAMDBB10002S{2100},A
RESTRAINED-ENTITY,UNIC2,2100SD*,2130,BA231,B16A1-TAMDBB10002S{2100},A
RESTRAINED-ENTITY,UNIC2,2100SD*,2130,BA233,B16A1-TAMDBB10002S{2100},A
RESTRAINED-ENTITY,UNIC2,2100SD*,2130,BA232,B16A1-TAMDBB10002S{2100},A
RESTRAINED-ENTITY,UNIC2,2100SD*,2130,BA234,B16A1-TAMDBB10002S{2100},A
RESTRAINED-ENTITY,UNIC2,2100SD*,2130,BA228,B16A1-TAMDBB10002S{2100},A
RESTRAINED-ENTITY,MTI,DB800*,2130,BAA*,T*,R
RESTRAINED-ENTITY,ICSI,DB800*,2130,BAA*,IS46DR16128A-3DBLA2-AS,A
RESTRAINED-ENTITY,MTI,DB800*,3130,BAA*,T*,R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,AAG050/DE/W25Q64JVZEIQ,R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,AAG050/IG/W25Q64JVZEIM,R
