MATNR,CLABS
1091A06T21,258000
1091A06T21,153000
1091A07M41,9000
1091A07M41,3000
1091A07T21,132000
1091A07T41,57000
1091A08T41,99000
1091A09C41,18000
1091A10C41,108000
1091C07NP3,11000
1091C08TP2,100000
1091G07PA4,78000
1091G08PA1,200000
1091G08PA1,23000
1091G08PA4,140000
1091A06C21,300000
1091A07C41,165000
1091A08T41,126000
1091A09C21,66000
1091C07NP3,16000
1091C07NP3,8000
1091G07PA4,43000
1091G07PA4,14000
1091G08PA1,55000
1091P10TP1,13000
1091A06C21,153000
1091A06C21,600000
1091A06C41,63000
1091A06T21,234000
1091A06T21,354000
1091A06T21,360000
1091A07T21,135000
1091A07T41,60000
1091A10T42,48000
1091C07NP3,80000
1091C07NP3,6000
1091C07NP3,22000
1091C08TP2,12000
1091G07PA4,62000
1091G08MA1,12500
1091G08MA1,88500
1091G08PA1,70000
1091G08PA1,83000
1091G08PA4,200000
1091G08PA4,199000
1091P07TP1,1000
1091P07TP1,129000
1091A06C41,78000
1091A06T41,39000
1091A07C41,15000
1091A12C41,14000
1091C08NP3,12000
1091C08TP2,14000
1091G07PA4,13000
1091G08PA4,160000
1091G08PA4,180000
1091A06C41,54000
1091A07C41,426000
1091A07M41,66000
1091A07T41,135000
1091A07T41,120000
1091A08C41,39000
1091A10T41,4000
1091A12C41,1000
1091C07NP3,82000
1091C07NP3,65000
1091C07NP3,1000
1091G07PA4,40000
1091G07PA4,30000
1091G08PA1,10000
1091G08PA4,147000
1091A06T41,240000
1091A07T21,18000
1091A07T41,117000
1091C07NP3,143000
1091C08TP2,89000
1091G07PA4,37000
1091G08MA1,2500
1091G08PA1,100000
1091G08PA1,54000
1091G08PA4,100000
1091A06T21,150000
1091A07C41,303000
1091A07T41,27000
1091A07T41,72000
1091A08T41,54000
1091A09C21,27000
1091A09C41,21000
1091A10C41,20000
1091C07NP3,70000
1091G07PA4,3000
1091G07PA4,24000
1091G07PA4,89000
1091G08PA1,157000
1091G08PA1,29000
1091G08PA4,65000
1091G08PA4,60000
1091A06C41,81000
1091A06C41,69000
1091A06T21,237000
1091A07T21,198000
1091A08T21,18000
1091A08T41,465000
1091C08TP2,60000
1091G08PA1,222000
1091G08PA1,53000
1091G08PA4,256000
1091G08PA4,320000
